DATE:  5/31/2013
RUN START:   1940    RUN FINISH:     1963
REF1 = 1 REF2 = 5   REF3 = 8
Events 10000
HV  Shelf TDC stat.  TDC cable  Chamber   LV THR
1  1 1  1  RE43-CERN025   2 240
2  2 2  2  RE43-CERN037   6 230
5  5 5  5  RE43-CERN038   4 240
6  6 6  6  RE43-CERN036   8 230
7  7 7  7  RE43-CERN039   3 230
8  8 8  8  RE43-CERN004   6 240
RUN  HV TRG  RUN HV TRG  RUN HV TRG
1940  8600 DOUBLE  1948 8600 TOP  1956 8600 BOT
1941  8800 DOUBLE  1949 8800 TOP  1957 8800 BOT
1942  9000 DOUBLE  1950 9000 TOP  1958 9000 BOT
1943  9200 DOUBLE  1951 9200 TOP  1959 9200 BOT
1944  9400 DOUBLE  1952 9400 TOP  1960 9400 BOT
1945  9600 DOUBLE  1953 9600 TOP  1961 9600 BOT
1946  9800 DOUBLE  1954 9800 TOP  1962 9800 BOT
1947  10000 DOUBLE  1955 10000 TOP  1963 10000 BOT
