       DATE:  6/2/2013  
  RUN START:   1988    RUN FINISH:     2011    
REF1 =  1 REF2 = 5   REF3 = 7    
Events 10000
HV  Shelf TDC stat.  TDC cable  Chamber   LV THR
1  1 1  1  RE43-CERN025   2 240
2  2 2  2  RE43-CERN037   6 230
5  5 5  5  RE43-CERN038   4 240
6  6 6  6  RE43-CERN036   8 230
7  7 7  7  RE43-CERN039   3 230
8  8 8  8  RE43-CERN004   6 240
RUN  HV TRG  RUN HV TRG  RUN HV TRG
1988  8600 DOUBLE  1996 8600 TOP  2004 8600 BOT
1989  8800 DOUBLE  1997 8800 TOP  2005 8800 BOT
1990  9000 DOUBLE  1998 9000 TOP  2006 9000 BOT
1991  9200 DOUBLE  1999 9200 TOP  2007 9200 BOT
1992  9400 DOUBLE  2000 9400 TOP  2008 9400 BOT
1993  9600 DOUBLE  2001 9600 TOP  2009 9600 BOT
1994  9800 DOUBLE  2002 9800 TOP  2010 9800 BOT
1995  10000 DOUBLE  2003 10000 TOP  2011 10000 BOT
