       DATE:  9/3/2013  
  RUN START:   2994    RUN FINISH:     3017       
REF1 =  1 REF2 =3   REF3 = 5    
Events 10000
HV  Shelf TDC stat.  TDC cable  Chamber   LV THR
1  1 1  1  RE43-CERN077   1 230
2  2 2  2  RE42-CERN076   2 230
3  3 3  3  RE42-CERN070   3 230
4  4 4  4  RE42-CERN072   4 230
5  5 5  5  RE42-CERN071   5 230
RUN  HV TRG  RUN HV TRG  RUN HV TRG
2994  8600 DOUBLE  3002 8600 TOP  3010 8600 BOT
2995  8800 DOUBLE  3003 8800 TOP  3011 8800 BOT
2996  9000 DOUBLE  3004 9000 TOP  3012 9000 BOT
2997  9200 DOUBLE  3005 9200 TOP  3013 9200 BOT
2998  9400 DOUBLE  3006 9400 TOP  3014 9400 BOT
2999  9600 DOUBLE  3007 9600 TOP  3015 9600 BOT
3000  9800 DOUBLE  3008 9800 TOP  3016 9800 BOT
3001  10000 DOUBLE  3009 10000 TOP  3017 10000 BOT
