       DATE:  8/17/2013
  RUN START:   2628    RUN FINISH:     2651 
REF1 =  1 REF2 = 3   REF3 = 5
Events 15000 
HV  Shelf TDC stat.  TDC cable  Chamber   LV THR
1  1 1  1  RE42-CERN051 1 230
2  2 2  2  RE42-CERN061 2 230
3  3 3  3  RE42-CERN064 3 230
4  4 4  4  RE42-CERN063 4 230
5  5 5  5  RE43-CERN066 5 230
6  6 6  6  RE43-CERN053 6 230
7  7 7  7  RE43-CERN067 7 230
8  8 8  8  RE43-CERN068 8 230
9  9 9  9  RE43-CERN020 9 230
RUN  HV TRG  RUN HV TRG  RUN HV TRG
2628  8600 DOUBLE  2636 8600 TOP  2644 8600 BOT
2629  8800 DOUBLE  2637 8800 TOP  2645 8800 BOT
2630  9000 DOUBLE  2638 9000 TOP  2646 9000 BOT
2631  9200 DOUBLE  2639 9200 TOP  2647 9200 BOT
2632  9400 DOUBLE  2640 9400 TOP  2648 9400 BOT
2633  9600 DOUBLE  2641 9600 TOP  2649 9600 BOT
2634  9800 DOUBLE  2642 9800 TOP  2650 9800 BOT
2635  10000 DOUBLE  2643 10000 TOP  2651 10000 BOT
